pygame 2.0.1 (SDL 2.0.14, Python 3.9.1)
Hello from the pygame community. https://www.pygame.org/contribute.html
Generation 19: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 20: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'R', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 44.9
Generation 21: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 22: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 23: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 24: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 25: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'D', 'L', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 26: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 27: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 28: ['NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
